VA3MW,va3mw.dxcluster.org:41112
va3mw-internal,192.168.113.16
AA2MF,24.168.100.201
AB5K,dxc.ab5k.net
AB5K-US,dxc-us.ab5k.net
AGW,localhost:8000
DX Telnent,127.0.0.1
EA7URC,195.57.18.13
GB7DXG,gb7dxg.shacknet.nu:7301
gb7ujs.shacknet.nu,gb7ujs.shacknet.nu:7373
gw-wadg.greatbasin.net,gw-wadg.greatbasin.net
hamgate.comm.sfu.ca,hamgate.comm.sfu.ca
HB9OK,195.190.168.142:41112
HCDXC Cluster,195.66.179.242:41112
i8nhj-6.pagus.it,i8nhj-6.pagus.it
JH1XYR,210.254.79.5:8000
K1EA,dxc.k1ea.com:7300
KB2EOQ,208.15.25.196
kf9ug.rexnet.net,kf9ug.rexnet.net
KL7G,24.237.4.235:2011
migate.ampr.org,migate.ampr.org
n2tly,n2tly.dxcluster.net:7000
N2TX,207.41.161.220
n9bms.powernetonline.com,n9bms.powernetonline.com
NA2NA,na2na.homedns.org
RW6AWT,195.161.45.20
Thomas home node,pe1ifh@pi.net
Unknown,216.116.160.54
W1GQ,dx.w1gq.net
wu3v.dynip.com,wu3v.dynip.com
K1EU,k1eu.dynip.com
W2GSB,24.187.239.170
K8SMC,k8smc.com
4N6DXC,195.66.179.242:41112
4N6DXS,195.66.179.251:8000
4X6HP,4X6HP.NO-IP.COM:9000
5B4NDX,5B4NDX.CYHAMS.ORG:9000
9A0CVZ,213.191.154.3:9000
9A0DXC,BBS.CC.FER.HR:8000
AA2IZ,216.42.112.6
AA2MF,DXC.AA2MF.NET
AB5K,DXC.AB5K.NET
AB5K-2,DXC-US.AB5K.NET
CS1SEL-5,193.137.221.244
CT2GWY-5,217.129.65.194:8181
CT3MY-7,CT3MY.ZARCO.ORG:7300
CT4KQ-5,194.65.81.45
DB0HST-6,194.94.76.140:7300
DB0SUE-7,193.175.191.244:8000
DB0ZWI-8,141.32.30.117:4111
DL5CG-6,DL5CG.DYNDNS.ORG:7300
EA1URF-5,193.144.52.168:41112
EA3RDG-5,195.76.214.20:41112
EA4TV,CLUSTER.SMSDX.NET:8000
EA4URE-5,EADX.NET
EA5ELX-5,EA5ELX.SYTES.NET:8000
EA5O-5,62.42.214.33:9000
EA5RKV,EA5AKC.MYFTP.ORG:9000/
EA5URV-5,CLUSEA5.UV.ES:41112
EA7URC-7,195.57.18.13:41112
EC1L-6,213.98.123.45:8000
ED3ZAG-5,147.83.4.88
ED7ZAB-5,195.57.18.13:8000
EI3IO-4,SHANDX.ATH.CX:5000
EI6CPB,WDX.ATH.CX:7300
EI7MRE,MAYODX.ATH.CX:7300
EV1AR,193.232.250.249:41112
F5KBJ-13,169.254.252.154:9000
F5MZN-3,62.4.18.179:9000
GB7BAA,GB7BAA.COM:7300
